username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Rodney B,2868118860,San Francisco,1/22/2023 18:51,@ChefJonKung Happy New year to you!,0,Twitter for Android,
Javaughn Lawrence 💧,256130518,"San Francisco, CA",1/22/2023 18:51,Happy Lunar new year to all who celebratr! 🐰,0,Twitter Web App,
Courageous Conversation®,210204907,"San Francisco, CA",1/22/2023 18:49,"Happy Lunar New Year and 新年�?to all who celebrate! 🧧 We wish you longevity, prosperity and good fortune. https://t.co/9j2arpRZeh",1,Twitter Web App,
Courageous Conversation®,210204907,"San Francisco, CA",1/22/2023 18:49,Today we celebrate the arrival of spring and the beginning of the new year. Acknowledged as China’s most important�?https://t.co/g98SksCPJF,1,Twitter Web App,
Anthony Silva,233089972,"Alameda, CA",1/22/2023 18:47,"Anyways - Lunar New Year celebration here at Chase, our boys are home #Warriors",0,Twitter Web App,
Oakland A's,19607400,"Oakland, CA",1/22/2023 18:46,Happy Lunar New Year! 🐰 https://t.co/nF3I1svYyh,19,Twitter for iPhone,
Ed Suh,389931887,"San Francisco, CA",1/22/2023 18:45,Happy Lunar New Year! Especially to those of us that are year of the rabbit babies,0,Twitter Web App,
Maya,1.43546E+18,"San Francisco, CA",1/22/2023 18:45,HEARTBREAKING: At least 10 people have been shot to death in a mass shooting amid Lunar New Year celebrations in Mo�?https://t.co/2EzHsmhYsU,0,Twitter for iPhone,
KQED News,14885540,"San Francisco, California",1/22/2023 18:45,📻 Listen LIVE at 11:00 on 88.5 FM or stream on https://t.co/PSeHD9ZUBS: The California Report's @SaulGonzalezCA spe�?https://t.co/CbC5sler0O,0,Twitter Web App,
Sonita Lontoh,281133654,"San Francisco, CA",1/22/2023 18:44,Happy Lunar New Year! Welcome #YearOfTheRabbit https://t.co/pMfY6gso8j,0,Twitter for iPhone,
Hyphen magazine,21952872,San Francisco,1/22/2023 18:44,Happy Lunar New Year! https://t.co/bGc0UQQInb,2,Twitter for iPhone,
Nav Shergill,26170866,San Francisco ,1/22/2023 18:44,@startingfromnix Happy lunar new year!! Beautiful embroidery.,0,Twitter for iPhone,
Lapine,1.51195E+18,"San Francisco, CA",1/22/2023 18:42,Happy Lunar New Year! #YearOfTheRabbit https://t.co/UqG5qKX6Fy,2,Twitter for iPhone,
Bronwyn Bailey,92150250,"San Francisco, CA",1/22/2023 18:41,Happy Lunar New Year! https://t.co/EvkLINAaFN,0,Twitter for iPhone,
Public Market,360113325,"Emeryville, CA",1/22/2023 18:40,"And THANKS to all who joined our #OrigamiCrafts in the #FoodHall to celebrate #LunarNewYear! Happy New Year, everyb�?https://t.co/uaf88x6ndt",0,LaterMedia,
OCSI.co,220849689,"Oakland, CA",1/22/2023 18:40,May the year of the Rabbit bring you luck and success in your career and job-seeking journey! Wishing you a Happy L�?https://t.co/SPHMx8kJM5,0,Twitter Web App,
Edith Yeung,5949972,"iPhone: 37.798000,-122.435814",1/22/2023 18:39,Happy Lunar New Year 2023 everyone.  Made this Yayoi Kusama styled rabbit with love by @midjourney_ai 🐰🐰🐰 https://t.co/j6WtFTn8Jp,2,Twitter for iPhone,
Zae,8.19313E+17,"San Francisco, CA",1/22/2023 18:39,"Oh hey! I still might be on and off Twitter a bit until I’ve got my life recalibrated (2022 was a tricky year), but�?https://t.co/umdBSSBm6l",0,Twitter for iPhone,
lann zhang,764740508,"San Francisco, CA",1/22/2023 18:38,"@worldoftanks wtf lunar new year? Are there statutory holidays? Does a game also have to play ideology? ok?
i only�?https://t.co/ocaNv1SNFT",0,Twitter for iPhone,
Yasir,1.19561E+18,"San Francisco, CA",1/22/2023 18:37,"Happy Lunar New Year 🧧 
#YearOfTheRabbit https://t.co/NmTtSabxCT",7,Twitter for iPhone,
Matt Fok,2452019810,"San Francisco, CA",1/22/2023 18:36,"Let's kick off the New Year by turning your event and Work into Traffic Engine 24/7.

https://t.co/XyRh5qWL7P�?https://t.co/oIjjN9pBl9",1,Twitter Web App,
Dave Lu 呂曉�?15925901,"San Francisco, CA",1/22/2023 18:36,@Erika_D_Smith @SimuLiu @latimes Why does your headline make no mention of the Lunar New Year celebrations or that�?https://t.co/OqzcKLg450,17,Twitter for iPhone,,
San Francisco Chronicle,121597316,"San Francisco, CA",1/22/2023 18:35,A gunman killed 10 people at a ballroom dance studio amid Lunar New Year celebrations and then may have tried �?but�?https://t.co/Lnx4jC9WA4,7,SocialFlow,
Hotaling & Co.,65472099,"San Francisco, CA",1/22/2023 18:34,Happy Lunar New Year! Wishing you the best for the Year of the Rabbit. https://t.co/mKm4c2N7st,0,Twitter for iPhone,
Kezar Life Sciences,1.12364E+18,"South San Francisco, CA",1/22/2023 18:34,The Kezar team is wishing all who celebrate a happy Lunar New Year! May this year of the rabbit be abundant with he�?https://t.co/6vZfEo4AaU,0,TweetDeck,
Joe Bailitz,414929094,"San Francisco, CA",1/22/2023 18:32,"What are #retail executives focusing on in the new year? According to @KPMG_US's 2023 Retail Executive Outlook, all�?https://t.co/j2AHLkuroN",0,Dynamic Signal,
BobDF,1.60394E+18,San Francisco,1/22/2023 18:30,"@SenTedCruz  I hope you are sending your thoughts and prayers.
Gunman kills 10 near Lunar New Year festival in Cali�?https://t.co/2fMEPIRlUu",0,Twitter Web App,
Oakland Ballet,190327347,"Oakland, California",1/22/2023 18:30,"🏮Happy Lunar New Year! May this new year bring you good health and good fortune.

We hope that you enjoy the festiv�?https://t.co/LRt0qlie3M",0,Hootsuite Inc.,
Cal Athletics,50545304,"Berkeley, CA",1/22/2023 18:29,"Happy Lunar New Year�?
Wishing our Cal Family health, happiness, and positivity in the Year of the Rabbit!

#GoBears https://t.co/o2NJDds3St",22,Twitter for iPhone,
San Francisco Zoo,10076782,"San Francisco, CA",1/22/2023 18:28,"As #LunarNewYear continues, enjoy a Zodiac Scavenger Hunt and join us for traditional lion and dragon dancers on Fe�?https://t.co/zBpUI6h63T",1,Twitter for iPhone,
Julie-Ann 🇵🇭,17187926,"Pacifica, CA",1/22/2023 18:28,"Happy Lunar New Year 🐇🧧🍊🧨🎊
#yearoftherabbit2023 

“We wish you good fortune and may all your wishes come true.�?https://t.co/jzE9tAMMZa",0,Twitter for iPhone,
Community Tech Network (CTN),28514948,Austin and San Francisco,1/22/2023 18:25,Happy Lunar New Year to all of our learners and partners who celebrate! 🎉�?https://t.co/fUs75qgISR,1,Hootsuite Inc.,
Nichole Penland,27023579,"Oakland,CA",1/22/2023 18:23,Wishing you and your loved ones success and happiness in the year ahead. Happy Lunar New Year! https://t.co/IzSanChLE9,0,Hearsay Social,
"Hi, I’m betito 💫",34778757,"San Francisco, CA",1/22/2023 18:21,"Wishing y’all a healthy, prosperous and joyous year ahead. Happy Lunar New Year 🧧! ☺️ https://t.co/y2bGp08iEK",1,Twitter for iPhone,
SFasskickers,1.5781E+18,San Francisco,1/22/2023 18:20,@DeanPreston Dean Preston the #1 Asian hater would like to wish those he hate a happy new year.,0,Twitter Web App,
Tom Hamilton,15077047,"San Bruno, CA",1/22/2023 18:18,"Join the SB Library’s Lunar New Year celebration @ 6:30PM on Wed, Feb 1, 2023 @ the SB Senior Center, 1555 Crystal�?https://t.co/S3qn6MtBmG",0,Twitter for iPhone,
KQED News,14885540,"San Francisco, California",1/22/2023 18:17,"A shooting in the city of Monterey Park, just outside of Los Angeles, has left 10 people dead and at least 10 other�?https://t.co/NThVFfkaZN",1,Twitter Web App,
Dr. O,1596310062,"Oakland, CA",1/22/2023 18:17,Remember yesterday how I was saying how safe I feel around Chinatown Lunar New Year celebrations?,0,Twitter Web App,
Liz Kreutz,21461944,"San Francisco, CA",1/22/2023 18:16,San Francisco Police will be increasing security at the city's Lunar New Year celebration today following the Monte�?https://t.co/wlqjrcVPhE,1,Twitter Web App,
Doma,9.32683E+17,"San Francisco, CA",1/22/2023 18:16,"Happy Lunar New Year! 🧧 May your Year of the Rabbit be filled with joy, good fortune, and lots of luck! 🐰 https://t.co/niPppRBfYE",0,Twitter for iPhone,
Zennie Abraham CEO ZENNIE62MEDIA INC #CES2023,315534849,Oakland,1/22/2023 18:14,"Gung Hay Fat Choy - Happy Lunar New Year Oakland by Derrick SooEOAdvocate
https://t.co/SJ4rHpCPzy",0,Twitter for iPhone,
Emmanuel Shiu,270182856,San Francisco,1/22/2023 18:13,@TheSpaceshipper Thank you ! Happy Lunar new year!,0,Twitter Web App,
Joaquín Torres,50101110,San Francisco,1/22/2023 18:13,"A night of joy, Lunar New Year’s Eve, is shattered by a horrifying act of gun violence in Monterey Park, enabled by�?https://t.co/fNr3F57Hwa",0,Twitter for iPhone,
Emmanuel Shiu,270182856,San Francisco,1/22/2023 18:12,Happy Lunar new year ! starting it off with some color from Thor Ragnarok! Wishing everyone a very healthy and pros�?https://t.co/K2LlrkmNlr,11,Twitter Web App,
Zennie Abraham CEO ZENNIE62MEDIA INC #CES2023,315534849,Oakland,1/22/2023 18:10,Gung Hay Fat Choy - Happy Lunar New Year by Derrick SooEOAdvocate https://t.co/zudMgq8h2q,0,IFTTT,
Jess Shapiro,9.78235E+17,San Francisco,1/22/2023 18:09,@caraesten the ideal new year's resolution is 640x480,0,Twitter for iPhone,
Frankentanken ☀�?1565433094038962176,"San Francisco, CA",1/22/2023 18:09,@hknightsf @BlueyAnon Please get permission from your BOS handlers before running the story. They may want you to h�?https://t.co/LgjbuVbY6E,0,Twitter for iPhone,,
Coalition,8.85652E+17,"San Francisco, CA",1/22/2023 18:09,Wishing you and your loved ones a very prosperous new year! 🐰 https://t.co/d8hmJnJ7Pk,0,Sprout Social,
Han Li 李晗,400542673,San Francisco,1/22/2023 18:08,Devastated to learn about the mass shooting. I am in LA celebrating Lunar New Year and was planning to go to Monter�?https://t.co/QrWHImvusI,0,Twitter for iPhone,
Presidio Middle School,2744125891,San Francisco,1/22/2023 18:07,"All SFUSD schools will be closed on Monday, January 23rd in observance of Lunar New Year. 
#presidiomiddleschool�?https://t.co/QddfDdrxNd",0,Instagram,
Zuo Modern,250140509,"Oakland, CA",1/22/2023 18:06,"Happy Chinese New Year from Zuo Family!
.
.
.
.
.
#zuomod 
#cy2023 #yearoftherabbit #lachinatown #chinesenewyear https://t.co/aHvozJvUBx",0,Hootsuite Inc.,
"""All I do is"" Nguyen ☺️🇻🇳🌈",1.40046E+18,San Francisco,1/22/2023 18:05,Prayers to those affected by the mass shooting today during New Year celebration in the mostly Asian community of M�?https://t.co/LAjLON6dOu,14,Twitter Web App,
Angel Island Immigration Station Foundation,1.07561E+18,"San Francisco, CA",1/22/2023 18:05,Happy Lunar New Year from all of us at AIISF! https://t.co/CXvSIlptB5,1,Hootsuite Inc.,
TK,24759374,San Francisco,1/22/2023 18:04,(It’s Lunar New Year which is great! I love Lunar! But still),0,Twitter for iPhone,
Frederick Smith (he/him),2158976743,San Francisco,1/22/2023 18:04,MPK should have been celebrating the Lunar New Year today. Instead guns have ruined a celebration and peoples' live�?https://t.co/ntj4B7AOKh,0,Twitter Web App,
Cecilia Cruz,30057109,"Oakland, CA",1/22/2023 18:04,“The massacre �?which derailed Lunar New Year celebrations and sent fear through Monterey Park and Alhambra’s large�?https://t.co/Vs2rH5cM2Y,0,Twitter for iPhone,
Samson Tan (samsontmr@sigmoid.social),1287912264,"San Francisco, CA",1/22/2023 18:04,what a great Lunar New Year present for the team!! Check it out at #eacl2023 🎉🧨 https://t.co/AeCB9cahTe,0,Twitter for Android,
Hui.eth,3426543854,"San Francisco, CA",1/22/2023 18:04,@waverider_eth @Chewtoro happy Chinese new year wave,0,Twitter for iPhone,
King Naphtali 🎮,1636306772,"Oakland, CA",1/22/2023 18:03,"27 and ready to grind! Friday marked another year of growth, and I'm excited to take my brand to new heights. Let's�?https://t.co/TdmYChEKaD",0,TweetDeck,
New Breath Foundation,1.0523E+18,"Oakland, California",1/22/2023 18:03,"From all of us at New Breath Foundation, we wish you a Happy Year of the Rabbit and Year of the Cat. May this year�?https://t.co/t1iGt8zD6V",1,Sprout Social,
"Nikki Fortunato Bas, Council President, Oakland 勵琪",403512052,Oakland CA,1/22/2023 18:02,"My heart goes out to the families &amp; those impacted by the senseless tragedy in Monterey Park. 

We should all be ab�?https://t.co/VJQspi68kd",0,Twitter Web App,
Ricardo Gomes,23295706,San Francisco,1/22/2023 18:02,EnJOY Celebrating the Lunar New Year of the Rabbit!🐇💖🎉🥡🥢🍜🥟🥠🧧 https://t.co/bhpnYUTwjG,0,Twitter Web App,
SF Water Power Sewer,23103448,"San Francisco, CA",1/22/2023 18:01,Happy Lunar New Year! 🎊 https://t.co/7xW2nme4YR,1,Hootsuite Inc.,
Fire Is Born 🇵🇱 🇺🇸 🇺🇦 🇭🇳2xPhD,1.26761E+18,"San Francisco, CA",1/22/2023 18:01,"Good bye, Water Tiger! 
I will miss you, all tigers!
You are so picturesque!

New Lunar Year is here! https://t.co/KESHHHvJPS",1,Twitter Web App,
Red Pocket Aces 紅口袋王�?1150641200828837889,"San Francisco, CA",1/22/2023 18:00,"@iingwen Happy New Year, President Tsai.  May the year of the rabbit bring to fruition all the hard work you've put�?https://t.co/ha5BFGEfz5",0,Twitter Web App,,
Daryll Peirce,121525152,San Francisco,1/22/2023 18:00,"Happy Lunar New Year and Year of the Rabbit!🎊🧨🐇

This lop-eared lepus is now available for adoption @moderneden�?https://t.co/o3Q3LnM1it",0,Twitter for iPhone,
Southeast Asian Development Center,1126244653,"San Francisco, CA",1/22/2023 18:00,Southeast Asian Development Center  invites community members in District 5 and beyond to celebrate the Lunar New Y�?https://t.co/0a19efVGcu,0,Buffer,
KTVU,15652540,"Oakland, CA",1/22/2023 18:00,Authorities still have little information to release about the suspect -- who's still on the run -- but said they a�?https://t.co/kpCky8HKLb,3,True Anthem,
George Mark Children's House,18030603,"San Leandro, California",1/22/2023 18:00,"The lunar new year is predicted to be a year of hope.      

May it inspire us to take an active approach to life &amp;�?https://t.co/utdDx6r3dR",1,Hootsuite Inc.,
i... gay 🏳️‍�?318081599,"South San Francisco, CA",1/22/2023 18:00,"@TheRightGlass hehe ty, just as adorable as you!! happy new year sunny!! wishing you a prosperous, healthy, love-fi�?https://t.co/hXbVin33Nr",0,Twitter for Android,,
Concept Labs,107505218,"San Francisco, CA",1/22/2023 18:00,"Happy Lunar New Year! 🐇

Some of our wonderful team members in our China office made this animation to celebrate. W�?https://t.co/wWz853dVzz",3,Hootsuite Inc.,
Dome Construction,919871676,South San Francisco,1/22/2023 18:00,Happy Lunar New Year from the Dome Family! Wishing you and your loved ones a prosperous and joyful Holiday.�?https://t.co/3Pw6DwFjot,0,HubSpot,
Signature Homes,305195906,"San Francisco, CA",1/22/2023 18:00,"Celebrating the Lunar New Year as the Year of the Rabbit begins. 🐇

We wish you a prosperous year of good fortune.�?https://t.co/G292KZfO5p",0,Sprout Social,
London Breed,2927379996,"San Francisco, CA",1/22/2023 18:00,"As we kick off the Lunar New Year today in San Francisco, @SFPD will be increasing police presence to ensure safe c�?https://t.co/EyW6YK5DnR",13,Twitter for iPhone,
London Breed,2927379996,"San Francisco, CA",1/22/2023 18:00,We are deeply saddened by the tragic shooting in Southern California on Lunar New Year’s Eve and are thinking of th�?https://t.co/9ym9O86x1D,25,Twitter for iPhone,
Supervisor Catherine Stefani,395502436,San Francisco,1/22/2023 18:00,"I wish everyone a happy, healthy, and prosperous Lunar New Year and Year of the Rabbit. 恭喜發財 https://t.co/1z5CW17Jx3",0,Twitter for iPhone,
Capcom USA,15838599,"San Francisco, CA",1/22/2023 18:00,"Happy Lunar New Year!

May good fortune hop its way to you during the Year of the Rabbit. 🐇 https://t.co/sNG5q4KgcD",59,Twitter Media Studio,
SEO Scholars SF,304582763,"San Francisco, CA",1/22/2023 18:00,"SEO Scholars San Francisco wishes you a joyous start to the Lunar New Year! 

2023 is the year of the rabbit, so if�?https://t.co/908hiZI0TL",0,HubSpot,
Aphasia Center,55070891,"Oakland, CA",1/22/2023 18:00,Happy Lunar New Year from the Aphasia Center of California! https://t.co/7NEuoR8Siz,0,Twitter Web App,
Arts and Culture,22229380,San Francisco,1/22/2023 17:59,@readingthestone @iasann Thank you for building this community so we have a place to enjoy our beloved Stone. Happy new year!,0,Twitter Web App,
Ricardo Gomes,23295706,San Francisco,1/22/2023 17:58,Encouraging &amp; Inspiring Narrative for Celebrating the Lunar New Year of the Rabbit!🐇💖🎉🥡🥢🍜🥟🥠🧧 https://t.co/Xm2JSISsYO,0,Twitter Web App,
Showtime,1.3362E+18,,1/22/2023 17:55,Happy Lunar New Year everyone! ✦🇨�?2,Twitter for iPhone,,
James A. Jacobs,257100983,"San Rafael, CA",1/22/2023 17:52,@WhiteRoses_11 Happy Lunar New Year. May the year of the rabbit bring you good luck.,0,Twitter Web App,
taylor �?1018727965088088064,"San Francisco, CA",1/22/2023 17:50,happy Chinese new year! 🧧🎊 https://t.co/cg0T4NFYbD,3,Twitter for iPhone,,
Martin Wojtczyk,191930633,San Francisco,1/22/2023 17:49,Happy New Year of the Rabbit! 🐇🐰❤️🍀�?0,Twitter for Android,,
Isabella Kung,3154745629,"San Francisco, CA",1/22/2023 17:48,@AutumnLeaflet 🧧 Happt Lunar New Year!!,0,Twitter for iPhone,
Gemma Evans,202628202,"San Francisco, CA",1/22/2023 17:48,"New Year’s Eve, in the back of a cab, headed into central London with a girl I used to sit next to in year six. https://t.co/v9SUHtoOhI",0,Twitter for iPhone,
Carol Wyatt,58486635,"Emeryville, CA",1/22/2023 17:46,@LynetteGM @Zen62com @tripledouble @SenecaSpeaks21 @DarwinBondGraha @reginaoak @RobBonta @GavinNewsom Thank you and�?https://t.co/q0Vuyyvyec,1,Twitter for iPhone,
Joanne Chen,242424376,"San Francisco, CA",1/22/2023 17:46,Happy New Year to the 2 billion people who celebrate! 🧧🐰,1,Twitter for iPhone,
Demandbase,21428389,"San Francisco, CA",1/22/2023 17:43,"🏮Happy Lunar New Year to all who celebrate! 🐲

May the Year of the Rabbit 🐇 bring you health, happiness, and succes�?https://t.co/gCn6yzleDZ",0,Sprout Social,
AP,2546297919,"Oakland, CA",1/22/2023 17:41,Happy Lunar New Year ❤️,0,Twitter for iPhone,
Sokhom Mao,2278187671,"Oakland, California",1/22/2023 17:40,"I would want to wish everyone who is celebrating a prosperous, successful, and happy new year! Fortunately for me,�?https://t.co/ywZj5FAvSj",0,Twitter for iPhone,
Bay Area Non-Profits,1.37919E+18,San Francisco,1/22/2023 17:40,Happy Lunar New Year 2023!!🥳 https://t.co/WfQTHO085y,0,Twitter Web App,
KTVU,15652540,"Oakland, CA",1/22/2023 17:40,"At least 10 people were killed Saturday night in a mass shooting in Monterey Park, with at least another 10 injured�?https://t.co/fQ2nS7I8Xn",4,True Anthem,
Nazeeh O’day,1.50905E+18,"San Francisco, CA",1/22/2023 17:36,"@Tuyn00571716 Sunshine, how do you feel today?
Hope you are celebrating and enjoying New Year.",0,Twitter for iPhone,
Chef Marck,1.10053E+18,"San Francisco, CA",1/22/2023 17:36,@missmja83 Happy new year!,0,Twitter for iPhone,
steev,2387759605,"san francisco, california",1/22/2023 17:35,@WIFEMODER 50 year olds have been using computers for 30-40 years and playing videogames for 40 years straight. The�?https://t.co/CFlIXe0db7,0,Twitter for Android,
Bob Winslow,2898645766,"Tiburon, CA",1/22/2023 17:34,@ajs @fortune first year @FortuneMagazine adding 50+ new reporters; new verticals; social engagement 300%+; journal�?https://t.co/TCme3LujbL,0,Twitter for iPhone,
Ana Tellez 🐜,13743152,"Berkeley, CA",1/22/2023 17:34,Every instance of this is horrifying and devastating. We are going to Dim Sum right now with my in-laws and our kid�?https://t.co/II8KFaxvJE,0,Twitter for Android,
"Dr. Brenda Billings Dr.PH, MPH, M.Sc., BSHS",87426403,"San Francisco, CA",1/22/2023 17:33,Okologie wishes you and your loved ones a happy Lunar New Year! We hope that this Year of the Rabbit brings you wel�?https://t.co/0DLRFjFNKp,0,Twitter Web App,
Security Collective,4160593342,"San Francisco, CA",1/22/2023 17:32,"Mainland China reports 12,660 COVID-19 deaths in week as Lunar New Year begins https://t.co/T0wptnXoFI https://t.co/Wms4obzyvl",0,dlvr.it,
LL,732073039,"San Francisco, CA",1/22/2023 17:30,@ZAGABOND Very heartbreaking. Praying for all those involved. Very sad way to start the new year.. 💔,0,Twitter for iPhone,
Gina Papan,2932935005,"Millbrae, CA",1/22/2023 17:30,"Happy New Year! Rabbit expected to bring peace, prosperity, longevity &amp; optimism- let’s make it so❤️ https://t.co/3Dr6Ut6T1H",0,Twitter for iPhone,
Center for Environmental Health,49706968,"Oakland, CA",1/22/2023 17:30,"Our hearts are with the victims of the mass shooting in Monterey Park - a city that is 65% Asian American.

Lunar N�?https://t.co/66p7mE504S",0,Hootsuite Inc.,
UCSF Library,15291202,San Francisco,1/22/2023 17:30,"We wish you an auspicious and prosperous Lunar New Year!🧧🏮🍊

Check out a list of Lunar New Year festivities taking�?https://t.co/bqe80Noqtb",0,Hootsuite Inc.,
Fruitvale Local,1011743929,"Oakland, CA",1/22/2023 17:29,At midnight one of my neighbors set off a big string of firecrackers to ring in the Lunar New Year. Lunar New Year�?https://t.co/ljg4SBkL0O,0,Twitter Web App,
Chloe Veltman,46518958,"San Francisco, CA",1/22/2023 17:29,San Francisco Chinatown seniors welcome in the Lunar New Year with rap  https://t.co/JZ1tvqKtaI,0,Twitter for iPhone,
City of San Bruno,274629639,"San Bruno, CA",1/22/2023 17:28,"May this year be filled with joy, health, and prosperity…Happy Lunar New Year!

Join the SB Library’s Lunar New Yea�?https://t.co/p2ZmuCt8sB",3,Twitter for iPhone,
Lisa Ford,55464336,Miami & San Francisco,1/22/2023 17:28,Happy Lunar New Year 🧧 �?https://t.co/BqvzkD0R9M,0,Twitter for iPhone,
Roberta Gonzales,117012194,"San Francisco, CA",1/22/2023 17:27,"Monterey Park shooting: Gunman on the loose after 10 killed, 10 injured near Lunar New Year celebration

https://t.co/FzM3307hxx",1,Twitter for iPhone,
Ryan Yamamoto,22346318,"San Francisco, CA",1/22/2023 17:26,Today marks the start of the Lunar New Year 🧧- but instead of celebrations - breaks my heart this is the news we ar�?https://t.co/goqAW2J7l1,2,Twitter for iPhone,
Golden State Warriors,26270913,"San Francisco, CA",1/22/2023 17:23,"Lunar New Year celebration game on #WarriorsGround

🏀 GSW vs. BKN
🕟 5:30pm PT
📺 @NBCSAuthentic &amp; @NBATV 
📻�?https://t.co/eA7FtLArD0",159,Twitter Web App,
Cara,15374401,"Oakland, CA",1/22/2023 17:23,me and June were walking to the donut shop and just as we turned the corner a firecracker went off like a foot in f�?https://t.co/ZirkCPGi0C,0,Twitter for Android,
Oakland OIG,1.5698E+18,"Oakland, CA",1/22/2023 17:22,"Happy Lunar New Year, Oakland! May the Year of the Water Rabbit bring those who celebrate relaxation, hope and pros�?https://t.co/DhS6c4CIOp",0,Twitter for iPhone,
dnagirl 🇺🇦,16652049,"San Francisco, CA",1/22/2023 17:22,Please try not to allow anger or fear into your hearts bc people are different #AAPI  #LunarNewYear https://t.co/PJHOxUjOzS,0,Twitter Web App,
Joel Engardio,26928597,San Francisco,1/22/2023 17:20,Today is supposed to be about the joy of the Lunar New Year. It hurts to have to remind San Franciscans to be vigil�?https://t.co/LjufXCgrQq,4,Twitter Web App,
Madona Jayasooriya,1.53768E+18,"San Francisco, California",1/22/2023 17:19,"@CuddlyKids_NFT 🧨Happy #ChineseNewYear to Cuddly Kids 🧧🎊 
! Gong xi fa cai! May this new year bring Kids happiness,�?https://t.co/876A37Nrgz",0,Twitter Web App,
Steve Riley☮️,314668690,Near San Francisco California,1/22/2023 17:19,"@AliciaHannah Horrific tragedy in Monterey Park. Heartbreaking�? and maddening.

Wishing you and all a safe and Hap�?https://t.co/gA8RC1sjw1",0,Twitter for iPhone,
Everfit,9.54458E+17,San Francisco,1/22/2023 17:17,"Happy Lunar New Year 2023! Let’s look ahead with joy, energy, and strength �?
We hope that, with the help of Everfi�?https://t.co/hw7TrImKXm",0,Twitter Web App,
Stephanie Lin,29140169,"San Francisco, CA",1/22/2023 17:16,"San Francisco Police tell us they are on ""heightened alert"" and working to address potential concerns over safety w�?https://t.co/QFAalAqU28",0,Twitter Web App,
Sweet Surrender,1.60678E+18,"Millbrae, CA",1/22/2023 17:16,"To all that hop, sniff, dig, munch, seek, zoom, play, and approach life with awe wonder and presence...cheers! Here�?https://t.co/GIId1O8H0O",0,Twitter Web App,
Annie Pho (she/her),249475029,"San Francisco, CA",1/22/2023 17:15,I came on here to wish everyone a happy lunar new year. Not to express horror at yet another mass shooting targetin�?https://t.co/lLhtNiMSXB,3,Twitter for iPhone,
Sonya Dreizler,8.99718E+17,"San Francisco, CA",1/22/2023 17:15,"Another mass shooting, and  this one in a predominantly Asian community, on the eve of Lunar New Year.

I am sick w�?https://t.co/8GUkRDAKeO",0,Twitter for iPhone,
Sarah Zarmsky,1.21565E+18,"Berkeley, CA",1/22/2023 17:15,"Thinking of all those affected by the Monterey Park shooting today, which should have been a peaceful celebration o�?https://t.co/V9SyqpK3Gh",0,Twitter for iPhone,
Ewan Barker Plummer,1.00821E+18,San Francisco,1/22/2023 17:15,Happy Lunar New Year from the Youth Commission! 🐇 #YearOfTheRabbit https://t.co/fnXvUr8rQD,0,Twitter Web App,
Jane Brown,1.32417E+18,"San Francisco, CA",1/22/2023 17:15,"Happiness, peace, prosperity and love to all this New Year. ❤️ https://t.co/fAQLUB4but",0,Twitter for iPhone,
Keker Van Nest & Peters,8.87037E+17,"San Francisco, CA",1/22/2023 17:13,Wishing you all happiness and prosperity in the New Year. Happy Lunar New Year! https://t.co/UHfq9gdxLN,0,Hootsuite Inc.,
COFFEEWEST 💀😸⛩�?1448514265430642691,"San Francisco, CA",1/22/2023 17:11,@tedkimo @ZAGABOND @AzukiOfficial Happy new year!,0,Twitter for iPhone,,
Christine Pelosi,15446551,"San Francisco, CA",1/22/2023 17:11,Heartbroken at the horrific gun massacre at what should have been a joyous Lunar New Year celebration in Monterey P�?https://t.co/LEUCpFRXLi,48,Twitter for iPhone,
COFFEEWEST 💀😸⛩�?1448514265430642691,"San Francisco, CA",1/22/2023 17:10,@zypto22 Happy new year zypto to you and the fam,0,Twitter for iPhone,,
bayconnews,142955273,"San Mateo, CA",1/22/2023 17:10,"🎊🎊 Happy Lunar New Year! 🎊🎊

2023 is the Year of the Rabbit 🐇 https://t.co/6tC8MSRUkR",0,Twitter for Android,
Alen Kwong,214717711,"Oakland, Ca",1/22/2023 17:06,Happy Chinese New Year! Time to receive shitty CNY gifs from relatives.,0,Twitter for iPhone,
SAN FRANCISCO FIRE DEPARTMENT MEDIA,109387660,"San Francisco, California",1/22/2023 17:06,"GONG HAY FAT CHOY 

HAPPY LUNAR NEW YEAR https://t.co/ky7AMaX8ET",2,Twitter for iPhone,
MSTai2 美西太太,113111850,San Francisco,1/22/2023 17:05,@Jun26465212 Happy Lunar New Year 🧧,0,Twitter for iPhone,
Alameda Health System,2201679288,"Oakland, California",1/22/2023 17:05,AHS recognizes our diverse community as we celebrate and wish everyone a happy Lunar New Year! #chinesenewyear�?https://t.co/t8jb9p9gTW,2,Hootsuite Inc.,
Boys & Girls Clubs of San Francisco,263772008,"San Francisco, CA",1/22/2023 17:05,Boys &amp; Girls Clubs of San Francisco is celebrating Lunar New Year! Members at our Visitacion Valley Clubhouse celeb�?https://t.co/adWrEPlRig,1,Sprout Social,
SAN FRANCISCO FIRE DEPARTMENT MEDIA,109387660,"San Francisco, California",1/22/2023 17:04,"GONG HAY FAT CHOY 

HAPPY LUNAR NEW YEAR https://t.co/DAuPdahvzb",6,Twitter for iPhone,
MSTai2 美西太太,113111850,San Francisco,1/22/2023 17:04,@TeslaJoy Happy Lunar New Year 🧧 https://t.co/lYCqDP8nbA,0,Twitter for iPhone,
