username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
Chanchai,37149496,"Portland OR, USA",1/22/2023 22:35,01/22 #VF5US training - Setups with Jeffry - Happy Lunar New Year live at https://t.co/h0ZXjfIeTi,1,PlayStation¬ÆNetwork,,,
BlackBettieCosplay ‚ú?Claudia with üî•Spiceüî•,6.97482E+17,"Portland, OR",1/22/2023 22:35,@TheCosplayBunny - they have to make X many cosplays a year or they aren‚Äôt a cosplayer. When just making one or wea‚Ä?https://t.co/VfbTaDJ39e,0,Twitter for iPhone,,,
oaktea ‚ú?1455931574,"Portland, OR",1/22/2023 22:19,"WIP‚Ä?happy year of the rabbit!! It‚Äôs Sailor moon üòçüíï

Working on Usagi for year of the rabbit üêá live now with a new‚Ä?https://t.co/3GfCyH8sGu",2,Twitter for iPhone,,,,
Huber's,40309141,"Portland, OR",1/22/2023 22:09,Come celebrate the new year with us by trying some of our new dinner items and specials! Reserve a table today!‚Ä?https://t.co/RHM1cOX4pD,0,Spot Hopper,,,
Tantrapa,18617894,"Portland, Oregon",1/22/2023 22:07,"Happy Lunar New Year! I wish you lots of love, health, and abundance! https://t.co/RiQZtZPPba",0,LinkedIn,,,
Don Augustson,297019827,"Portland, OR",1/22/2023 21:53,@KEVNDU Happy new year,0,Twitter for Android,,,
Murphüç•,220867065,"Portland, OR",1/22/2023 21:43,@the6footkid happy new year,0,Twitter for Android,,,
Cobra Kai Kompanion Podcast,1.00224E+18,"Portland, OR",1/22/2023 21:40,Happy Lunar New Year to our followers that celebrate it! I wish you good health and happiness in the upcoming year! https://t.co/PkN0J45uTQ,5,Twitter for iPhone,,,
Jazzy üçÇü´ñ,1373569866,"Portland, OR",1/22/2023 21:38,@kimchica25 I've been wanting to go there! Happy lunar new year!!,0,Twitter for Android,,,
KGW News,14185814,"Portland, Oregon",1/22/2023 21:21,"At least 10 dead and another 10 hospitalized in a mass shooting in Monterey Park, California on Saturday night, acc‚Ä?https://t.co/ksiqfaKHIQ",1,SocialNewsDesk,,,
number one dad jazz fan,16167428,Null Island,1/22/2023 21:19,Happy Lunar New Year!,0,Twitter for Android,,,
Jenny | Kimchica üåª,3237083244,"Portland, Oregon",1/22/2023 21:18,"ÏÉàÌï¥ Î≥?ÎßéÏù¥ Î∞õÏúºÏÑ∏Ïöî! Happy Lunar New Year! üê∞ 

Hanging with the fam later today and excited for the foooood ‚Ä?now? I‚Äôm rel‚Ä?https://t.co/ldPwNqOYyU",4,Twitter for iPhone,,,
NikuSenpai,267049829,Vancouver WA,1/22/2023 21:17,"Amber wants to celebrate Luna new year :D
(rip paimon in the back üòì) https://t.co/QYTeA7rmAI",167,Twitter Web App,,,
While,87090238,"Portland, OR",1/22/2023 21:04,Waking up for a new year. #YearOfTheRabbit https://t.co/5PLxevKRfe,0,Twitter for iPhone,,,
Patrick F. Herlihy,1.2571E+18,Portland,1/22/2023 21:02,Chinese pray for health in Lunar New Year as Covid death toll rises https://t.co/ezhegg17Ry #SmartNews,0,SmartNews | „Çπ„Éû„Éº„Éà„Éã„É•„Éº„Çπ,,,
Aubrey Serr,121483821,"Portland, OR",1/22/2023 20:46,"I finally saw a PS5 available for sale at the MSRP on a normal retail website. 3 Years after the console launched,‚Ä?https://t.co/SWTsRyFxO2",1,Twitter Web App,,,
Ingrid Harris,30863174,"Portland, Oregon",1/22/2023 20:44,Happy Lunar New Year!! üßßüèÆüéèü•Æüéâ,0,Twitter for iPhone,,,
MissMishPDX,1.2864E+18,"Portland, OR",1/22/2023 20:38,"May the Lunar New Year be pleasant and prosperous &amp; wishing you peace, happiness and luck in the new year. https://t.co/uNv9iDemE1",0,Instagram,,,
"Pete Lee ‚Ä?Vice Chair, Democratic Party of Oregon",7.80382E+17,"Portland, OR",1/22/2023 20:36,"@JewWhoHasItAll @JewWhoHasItAll: I was hoping you‚Äôd do an explainer for Lunar New Year! In other news, I am delight‚Ä?https://t.co/OKKc5qk9jE",0,Twitter for iPhone,,,
KyMo üå©,477311930,"Portland, Oregon",1/22/2023 20:31,Happy Lunar New Year üßßüéä,0,Twitter Web App,,,
Cameron H-B,8.03073E+17,"Portland, OR",1/22/2023 20:22,@HimeVT Thank you Hime! Happy Lunar New Year to you as well üòäüß°,0,Twitter for Android,,,
The Columbian,15079397,"Vancouver, Washington",1/22/2023 20:22,Gunman kills 10 near Lunar New Year festival in California - https://t.co/iW2jxmUZRs,0,Automate Posts from Columbian,,,
Joe Fustolo,32576280,"Lake Oswego, Oregon",1/22/2023 20:13,"Happy Chinese New Year! üèÆ

Hope this new year brings you good fortune, peace and prosperity. üôå

#chinese‚Ä?https://t.co/PkWEMUKfWW",0,Listings To Leads - Social,,,
Willamette Writers,25135342,"Portland, Oregon",1/22/2023 20:01,Willamette Writers welcomes the Year of the Rabbit! Happy Lunar Year! Learn more about Lunar New Year and ways to c‚Ä?https://t.co/IwHaPsX9NZ,0,Hootsuite Inc.,,,
Northwest Family Services,1.11096E+18,"Portland, OR",1/22/2023 20:01,"Open your windows to allow good luck to come inside, and light up the lanterns with new hopes and aspirations. Happ‚Ä?https://t.co/ywXpJbBjzL",0,Hootsuite Inc.,,,
AAA Oregon/Idaho,51113617,"Portland, Oregon",1/22/2023 20:00,Considering a new vehicle in the new year? Check out AAA Oregon/Idaho's reviews of the newest vehicles on the road‚Ä?https://t.co/Fq6vBAVQ4d,0,Khoros Publishing App,,,
Emery Foley Investment Management of LPL Financial,1.47626E+18,"Portland, OR 97211",1/22/2023 20:00,Happy Chinese New Year! We hope your 2023 will be a roaring success. https://t.co/vmTb5Ld6oJ,0,HubSpot,,,
Mayor Ted Wheeler,18708561,"Portland, OR",1/22/2023 19:52,The mass shooting in Monterey Park is absolutely devastating. I am mourning the lives lost and am keeping close com‚Ä?https://t.co/BaX1SRxSjb,7,Twitter for iPhone,,,
CryptoEnbyüè≥Ô∏è‚Äçüå?1524489681546530816,"Portland, OR",1/22/2023 19:43,Happy Lunar New Year!,0,Twitter Web App,,,,
Rational in Portland,1.42065E+18,"Portland, OR",1/22/2023 19:41,"‚ÄúOregon ranked the worst in the country for pain reliever misuse, with 4.56% of people reporting that they misused‚Ä?https://t.co/952WefQdc9",2,Twitter for iPhone,,,
George Hayduke Oliver,8.15745E+17,"Portland, OR",1/22/2023 19:40,It appears Rep from California drove those evil spirits south right into dance club for lunar New year. Shame on yo‚Ä?https://t.co/CVxiL4LrEc,0,Twitter for Android,,,
JulieMa,14239702,"Portland, OR",1/22/2023 19:38,"Happy #LunarNewYear2023 to everyone that celebrates. Wishing health, prosperity, and love for all. Here‚Äôs to a spar‚Ä?https://t.co/FZs6hrO2Si",0,Twitter for iPhone,,,
Nicky Reid,1.2436E+18,Happy Valley,1/22/2023 19:37,"Happy Chinese New Year!

Please feel free to blow some shit up, provided that it's unoccupied. Only pigs commit act‚Ä?https://t.co/1J7u8P9oIE",0,Twitter Web App,,,
Chelsea Wilkinson,2987620164,portland,1/22/2023 19:37,It‚Äôs unbelievably heartbreaking that the first thing I wake up to on Lunar New Year is to hear there‚Äôs been a mass‚Ä?https://t.co/OWQAj1T2y0,1,Twitter for iPhone,,,
City of Troutdale,517775901,"Troutdale, OR",1/22/2023 19:15,Happy Lunar New Year to all who celebrate! We wish you a prosperous Year of the Rabbit  üêá https://t.co/icXsZeB7IL,0,Twitter for iPhone,,,
Kevin Concepts,473593769,"Portland, OR",1/22/2023 19:11,Happy Lunar New Year üßß https://t.co/Rg6AM8Mqrv,2,Twitter for iPhone,,,
TheExchangePDX,1.03775E+18,"Portland, OR",1/22/2023 19:11,"May this Lunar New Year bring you happiness, wealth, and good fortune! 2023 is the year of the Rabbit. Success awai‚Ä?https://t.co/TyNsjhWKL8",1,Buffer,,,
Deborah Goldstein,1410772326,"Portland, OR",1/22/2023 19:00,@EFLyons Happy Chinese New Year!,0,Twitter for iPhone,,,
KATU News,17994536,"Portland, Oregon",1/22/2023 19:00,A gunman killed 10 people and wounded 10 others at a Los Angeles-area ballroom dance club following a Lunar New Yea‚Ä?https://t.co/Hnr5lkk7BB,1,TweetDeck,,,
Barnes & Noble Bridgeport Village,4229017643,"Tigard, OR",1/22/2023 19:00,Happy #LunarNewYear ! May the Year of the Rabbit bring you lots of new stories to read and discover üêá https://t.co/klGYLt8elt,0,Twitter Web App,,,
peter pansexual üíã,1.25024E+18,"Portland, OR",1/22/2023 18:58,"Straight from Papa Le‚Äôs mouth:
Happy lunar new year üßß of the cat üêà 

‚ú®Gong Xi Fa Cai‚ú?https://t.co/DJRtuoP5nf",0,Twitter for iPhone,,,
NAMC Oregon,9.91084E+17,"Portland, OR",1/22/2023 18:56,"May this new year bring you peace, joy, good health, prosperity, and many happy moments with your loved ones!‚Ä?https://t.co/gvS4YlQ6i8",0,Sprout Social,,,
Jamii Pae Consulting,1.32636E+18,"Vancouver, WA",1/22/2023 18:55,"Happy #LunarNewYear! Wishing you and your family good health, good luck, and much happiness throughout the New Year‚Ä?https://t.co/D2UJRH0Y3B",0,Twitter for iPhone,,,
Jenny | Kimchica üåª,3237083244,"Portland, Oregon",1/22/2023 18:54,@sonderingstudio y'all do amazing work!üíõ happy lunar new year!,0,Twitter Web App,,,
Paul Bae,14284323,PDX,1/22/2023 18:47,"@KyleStack We‚Äôre seeing a proper turnaround happen right before our eyes, just over the last 2-3 years. New manager‚Ä?https://t.co/gtpgvq4gZT",1,Twitter for iPhone,,,
monty mont√© monti,2751482176,"portland, oregon",1/22/2023 18:46,"@ocean_today made us a sweet alter for lunar new year featuring my mama and her tutu üéãüêáüçä
hope y‚Äôall get rich! https://t.co/OAqi5rnlmF",0,Twitter for iPhone,,,
ezdiquote,214989157,"Tualatin, OR",1/22/2023 18:46,"Happy #LunarNewYear ! While Westerners celebrate New Year‚Äôs on December 31st, many Asian cultures celebrate Lunar N‚Ä?https://t.co/8zhgu7IeOk",0,Twitter Web App,,,
pÃ∏ÕãÕòÕéÃóaÃ¥ÕÑÃÆÃ©tÃ¥ÕõÃÅÃäÃÄÃ∞tÃ∑ÕùÕúÃπÃ∫yÃµÕÉÕóÃ§ÃÆÃ´,9.9025E+17,"Portland, OR",1/22/2023 18:45,"@veeepham happy lunar new year, beauty!!",0,Twitter for iPhone,,,
Kerry baby ü•Ä,9.69618E+17,"Oregon, USA",1/22/2023 18:39,Happy Lunar New Year everyone thank GOD Rabbit Year is best Year üòèüéäüê∞,0,Twitter for iPhone,,,
Donnie Di‚Ç≥monds üöú/HONK!,14935714,"Portland, OR",1/22/2023 18:37,@officialmocossi Happy New Year!,0,Twitter Web App,,,
All Classical Portland,77067999,"Portland, OR",1/22/2023 18:35,"ÊÅ≠ÂñúÂèëË¥¢. A very happy Lunar New Year to everyone who celebrates! 

Wishing you happiness and prosperity in the year of‚Ä?https://t.co/VDePNLeSnt",1,Sprout Social,,,
Travis Q Goodwin,613140257,"Portland, OR",1/22/2023 18:34,@TheVTran Happy new year! üßßüéäüêà‚Äç‚¨õ,0,Twitter Web App,,,
Tex (anti-hero),4311418589,"Portland, OR",1/22/2023 18:34,i love seeing my friends celebrate new year ü•≥,0,Twitter Web App,,,
FIGHTERS FOR FREEDOM !!!,1.52123E+18,"Milwaukie, OR",1/22/2023 18:32,"unfortunately, the devil knows incidents like this will influence the government to take away everybody‚Äôs guns, unt‚Ä?https://t.co/mW9aVdO4Yx",0,Twitter for iPhone,,,
lynn,154687936,pdx,1/22/2023 18:30,"ch·ª©c m·ª´ng nƒÉm m·ªõi / happy lunar new year! while this year‚Äôs celebration has started on a somber note, may this year‚Ä?https://t.co/IrXG5hNFfU",0,Twitter for iPhone,,,
Phiphi  ï¬∑·¥•¬∑ ?1339474621855232002,"Portland, OR",1/22/2023 18:28,Happy lunar new year friends!,0,Twitter for iPhone,,,,
The Old Man's Podcast,1.2726E+18,"Vancouver, WA",1/22/2023 18:25,"New Episode! ""The Week Ahead for 1-22-23""

The week is starting of with a Hop!! It's the Beginning of the Lunar New‚Ä?https://t.co/RJl0wtwAp6",0,Podpage ,,,
Evan,1400891534,"Portland, OR",1/22/2023 18:23,"Happy new year!! üéâ
Any of my fellow rabbits ready? üê∞ https://t.co/MQU1g2mSvL",0,Twitter for iPhone,,,
Bruce Poinsette,138092985,"Tigard, OR",1/22/2023 18:21,Good read on the big political wins of the last year and their implications for the state. The time to mobilize aro‚Ä?https://t.co/O3RzEEW9ag,1,Twitter for iPhone,,,
amanda kay rhoades,1.33949E+18,"Portland, OR",1/22/2023 18:14,"@lingerie_addict Maybe it‚Äôs me, but this immediately makes me think of the pressure to have new clothes for the fir‚Ä?https://t.co/qeYO15Ug34",0,Twitter for iPhone,,,
Northwest Naturals,1.51907E+18,"Portland, OR",1/22/2023 18:12,"Happy Lunar New Year üêá 

#northwestnaturals #lunarnewyear #newyear #holiday #yearoftherabbit https://t.co/O3eTUsj7LV",0,Sprout Social,,,
Maddie Khaw,1.15605E+18,"Portland, OR",1/22/2023 18:10,"With today marking the Lunar New Year, I find myself reflecting on my Chinese and Burmese identity. I wrote about i‚Ä?https://t.co/V2SGU1d46j",0,Twitter Web App,,,
April Ehrlich,1380456582,"Portland, OR",1/22/2023 18:05,"Happy New Year. The Lee Association is performing at local businesses to bring good luck, including this small barb‚Ä?https://t.co/bImNibPpkg",17,Twitter for iPhone,,,
Spence Williams,24421372,"Portland, OR",1/22/2023 18:05,Lunar New Year 2023 https://t.co/FTdURnMj7R,0,Twitter Web App,,,
Trash Mob Minis,6.9688E+17,"Portland, OR",1/22/2023 18:01,"Add her to your lineup of Lunar New Year heroes!
Get her here!: https://t.co/7BTu7u8FEo https://t.co/bbnOJSBZ3M",1,Twitter Web App,,,
Andrea Valderrama,1.37636E+18,"Portland, OR",1/22/2023 18:01,"Wondering why animals are assigned years, and which one is next? I encourage you to check out Ruby‚Äôs Chinese New Ye‚Ä?https://t.co/1NTTUTOuMz",0,Twitter for Android,,,
Andrea Valderrama,1.37636E+18,"Portland, OR",1/22/2023 18:00,"üå±üê∞ Lunar New Year brings a fresh start, growth, and community. Our family celebrates by attending local community e‚Ä?https://t.co/DdZjmhBQ8F",2,Twitter for Android,,,
Oregon Nurses Association,3194776550,"Tualatin, OR",1/22/2023 18:00,"ICYMI: From new unionists sharing how they claimed their power at Starbucks &amp; Amazon, to workshops on protecting ou‚Ä?https://t.co/8VraqHGu3d",1,Hootsuite Inc.,,,
Mayor Lueb,1.08542E+18,"Tigard, OR",1/22/2023 18:00,"Wishing our Tigard community a Happy Lunar New Year! üßß @ Tigard, Oregon https://t.co/ANdSvD8Oq7",0,Instagram,,,
ESD112,461628967,"Vancouver, WA",1/22/2023 18:00,"To all who celebrate the Lunar New Year, wishing you great happiness and prosperity! #GongHeiFatChoy #GongXiFaCai‚Ä?https://t.co/iTtjh3QcSt",0,Twitter Web App,,,
Candace Avalos,1.14658E+18,"Portland, OR",1/22/2023 17:55,"I'm back! ‚úçüèæüë©üèæ‚Äçüí?
My new column in the @Oregonian out today is about key wins of 2022, things we should keep our ey‚Ä?https://t.co/MAAd28EX4q",4,Twitter for Android,,,
SheerID,329928668,"Portland, OR",1/22/2023 17:55,#Students #Teachers #Military #FirstResponders &amp; #HealthcareWorkers: Need some help making those New Year's Resolut‚Ä?https://t.co/aI0GUkuiKf,0,Hootsuite Inc.,,,
Charlie Martel,49843086,"Portland, OR",1/22/2023 17:50,@jojonata Happy New Year Joanna!,0,Twitter Web App,,,
speedius,17750595,"Portland, OR",1/22/2023 17:47,Happy Chinese New Year!,0,Twitter for Android,,,
Univ.WesternStates,358424608,"Portland, OR",1/22/2023 17:45,"Happy Lunar New Year from UWS! Wishing happiness, prosperity and health to all in 2023. #LunarNewYear‚Ä?https://t.co/yDo673O5LL",0,Sprout Social,,,
jimmyrunsmoney,1.32227E+18,,1/22/2023 17:41,Happy Chinese New Year! üéâüßßüê∞,0,Twitter for iPhone,,,
Lauren,291095164,Portland,1/22/2023 17:38,"Gunman kills 10, wounds 10 after Lunar New Year celebration in Monterey ... https://t.co/uuJAkABmPk via @YouTube",0,Twitter Web App,,,
John Claude Vann Hamm,54021334,"Portland, OR",1/22/2023 17:36,"Okay. Officially out of bed, so I can wish you all happy new year",0,Twitter for iPhone,,,
Elizabeth Dinh,45672770,"Portland, OR",1/22/2023 17:21,"üíî 
Authorities are still looking for the gunman. 
An evening of fun at a Lunar New Year event in Southern Californi‚Ä?https://t.co/vFSPRyGieZ",0,Twitter for iPhone,,,
AAJA PDX,9.51892E+17,"Portland, OR",1/22/2023 17:19,"Happy Lunar New Year, AAJA Family! https://t.co/5jRfGvBZlQ",0,Twitter Web App,,,
Howard Lao,33435776,"Portland, OR",1/22/2023 17:07,Happy Lunar New Year üßßüßß https://t.co/DOampuntix,0,Twitter for iPhone,,,
City of West Linn,138137624,"West Linn, Oregon",1/22/2023 17:01,Happy Lunar New Year! 2023 is the Year of the Rabbit. Want to join in the celebration? See below for our recipe for‚Ä?https://t.co/kAZchgTh6u,0,Loomly,,,
Flynde,2845925191,"Portland, OR",1/22/2023 17:01,"Happy Lunar New Year! Wishing everyone a joyful and prosperous Rabbit Year! May this be a year full of good luck, h‚Ä?https://t.co/49RardbcmL",0,Hootsuite Inc.,,,
Beaverton Schools,73167937,"Beaverton, Oregon",1/22/2023 17:00,"Happy Year of the Rabbit!

The Lunar New Year is based on the lunar calendar, which tracks time by the moon cycles.‚Ä?https://t.co/6I67QTEB0j",0,Buffer,,,
Dark Horse Comics,17105214,"Milwaukie, OR",1/22/2023 17:00,"ICYMI: Top new series picks from @popculturesquad include The Lonesome Hunters by @MrTylerCrook! ""Tyler Crook deliv‚Ä?https://t.co/kn87astzN8",2,Sprout Social,,,
City of Beaverton,42962775,"Beaverton, Oregon",1/22/2023 17:00,"Happy Lunar New Year! In honor of the beginning of the lunar calendar, the Insignia artwork at the Beaverton Public‚Ä?https://t.co/QXMqurhOsq",1,TweetDeck,,,
Phillydude,177418695,"Portland, OR",1/22/2023 16:54,"@davidhogg111 The shooting happened at a Lunar New Year Party in California, Republicans won't even do the Thoughts‚Ä?https://t.co/LGD7qajdwx",1,Twitter Web App,,,
MetalGoddessJen,1.15207E+18,"Portland, OR",1/22/2023 16:36,The shooting last night in LA during the Lunar New Year just absolutely breaks my heart. I hope they catch this per‚Ä?https://t.co/uQJs9fHddQ,1,Twitter for iPhone,,,
Shawn Yu,339151333,"Portland Oregon, USA",1/22/2023 16:30,"Happy Lunar New Year üéÜ from Shawn Realty üß°

#ShawnRealty #Portland #Oregon #HappyLunarNewYear2023 #LunarYear2023‚Ä?https://t.co/qMkjPHBsiL",1,SocialPilot.co,,,
üè≥Ô∏è‚Äç‚öß Kit Arcus üîú Furvana,30105705,"Portland, OR",1/22/2023 16:26,Happy Lunar New Year! üêá https://t.co/yb0uxC5fyt,1,Twitter for Android,,,
üÖºüÖ∏üÖΩüÖ≥üÜà üêº,22558605,‚ìà‚ìî‚ìê‚ì£‚ì£‚ìõ‚ì?2023-01-22 16:23:44,Happy Chinese New Year! üéãüßßüêá,0,Twitter for Android,,,,
NexiGo,1.40557E+18,"Beaverton, Oregon",1/22/2023 16:06,Wishing you prosperity and wealth for the new year! #lunarnewyear2023 #yearoftherabbitüê∞ #ChineseNewYear #2023‚Ä?https://t.co/zkeTva35M4,0,IFTTT,,,
@coeus@newsie.social,1.1965E+18,"Portland, OR",1/22/2023 16:05,Happy Lunar New Year  https://t.co/SwhWv6m0vO,0,Twitter for iPhone,,,
Hanzo,203054733,"Portland, Oregon, USA",1/22/2023 16:03,Happy Chinese New Year!  #chinesenewyear #lunarnewyear https://t.co/eRIJGuaI3h,0,HubSpot,,,
LOSD,1.03021E+18,"Lake Oswego, OR",1/22/2023 16:01,"Happy Lunar New Year, which officially begins on January 22 and celebrates the beginning of a lunar calendar or lun‚Ä?https://t.co/GrKj90sAui",0,Agorapulse app,,,
Nicola,14604864,"Portland, Oregon",1/22/2023 15:59,Happy Lunar New Year. Hope it‚Äôs a healthy one for you all. üßß https://t.co/sdnQjDukz1,0,Twitter for iPhone,,,
Deke Bridges,207323988,"Portland, OR",1/22/2023 15:54,"Prayers for Monterey Park, California.
10 dead in incident after Lunar
New Year festival, more injured.
Suspect sti‚Ä?https://t.co/2fSzjqr8uV",0,Twitter for Android,,,
ü¶ÜG‚ö°Ô∏è,540233417,"Portland, OR",1/22/2023 15:49,"Happy Lunar New Year, y‚Äôall!! https://t.co/MOyDfqvOHI",0,Twitter for iPhone,,,
White Rose Of the Willamette Valley,1.353E+18,"Willamette Valley, Oregon",1/22/2023 15:48,"Last night while the major news networks were all focused on Atlanta because ""Antifa"" stories are splashy and atten‚Ä?https://t.co/tkc9AFPexS",5,Moa Bridge,,,
Trumpsa Luzer,7.24326E+17,"Portland, OR",1/22/2023 15:44,"And, because we live in a world where Trump made hate crimes ok, the new year starts with innocent people dying üò¢üò¢üò¢‚Ä?https://t.co/3iJI5gMKbV",0,Twitter for Android,,,
PDX,23733581,Portland Oregon,1/22/2023 15:41,LA mass shooting suspect kills 10 near Lunar New Year fest https://t.co/FtMmjbKCnN,0,Twitter for iPhone,,,
Leslie Read,7.51525E+17,"Portland, OR",1/22/2023 15:36,Happy New Year‚Ä¶‚ù§Ô∏èüê∞üå?https://t.co/GE8szw7BtH,0,Twitter for iPhone,,,
KOIN News,18228178,"Portland, Oregon",1/22/2023 15:30,"10 killed in mass shooting near Los Angeles Lunar New Year fest
https://t.co/bzhrdZNpn4",2,SocialFlow,,,
